State,Year,mme,quantity,population,Deaths,deaths_percap,mme_percap
AR,2011,1349886.3500912806,930653.0,2877698.0,135.0,4.691249741981264e-05,0.46908548085701857
AR,2012,1458893.3212632101,923509.0,2898234.0,123.0,4.243963737917642e-05,0.5033731994253087
AR,2013,,,,113.0,,
AR,2014,,,,142.0,,
AR,2015,,,,125.0,,
AZ,2003,,,,593.0,,
AZ,2004,,,,659.0,,
AZ,2005,,,,715.0,,
AZ,2006,1850167.5493524496,1064407.0,6029141.0,810.0,0.00013434749660026196,0.30687083771178175
AZ,2007,2160922.5957151526,1239434.0,6167681.0,868.0,0.00014073360798004956,0.3503622505306537
AZ,2008,2462000.496285023,1378380.0,6280362.0,745.0,0.00011862373538340625,0.39201569850352946
AZ,2009,2808118.299487087,1527864.0,6324865.0,922.0,0.00014577386236702285,0.44398074891512895
AZ,2010,3053090.80774406,1679022.0,6246816.0,1025.0,0.00016408359074446887,0.48874351473519634
AZ,2011,3453012.9163844255,1982544.0,6337373.0,987.0,0.00015574276596943244,0.5448650278884366
AZ,2012,3678447.737186849,2114926.0,6410979.0,1076.0,0.00016783708073291146,0.5737731689944467
AZ,2013,,,,1171.0,,
AZ,2014,,,,1134.0,,
AZ,2015,,,,1178.0,,
CA,2003,,,,2809.0,,
CA,2004,,,,2863.0,,
CA,2005,,,,2971.0,,
CA,2006,7309936.189408678,5992895.0,36021202.0,3207.0,8.903089907993631e-05,0.20293426603056383
CA,2007,8338892.628918035,6532606.0,36249037.0,3614.0,9.969920028496206e-05,0.23004452860135388
CA,2008,9178293.015658947,6982623.0,36604337.0,3555.0,9.711963912910102e-05,0.25074332081629963
CA,2009,10142777.24826205,7369724.0,36308527.0,3782.0,0.00010416285959493757,0.2793497309395683
CA,2010,10518960.138192883,8155553.0,36637290.0,3773.0,0.00010298250771277023,0.2871107589615084
CA,2011,10984616.802580472,9326386.0,36969200.0,3948.0,0.00010679159949363254,0.29712887491697065
CA,2012,11394860.904691266,9697278.0,37325068.0,3780.0,0.00010127242099063289,0.305287076896719
CA,2013,,,,4223.0,,
CA,2014,,,,4292.0,,
CA,2015,,,,4412.0,,
CO,2003,,,,361.0,,
CO,2004,,,,370.0,,
CO,2005,,,,438.0,,
CO,2006,1000046.5141116264,697971.0,4712675.0,481.0,0.00010206517529853002,0.21220358164134517
CO,2007,1172815.2093376252,793973.0,4795446.0,556.0,0.00011594333457200852,0.24456853634419515
CO,2008,1324707.7106138985,901244.0,4877208.0,565.0,0.00011584496703851876,0.2716118957021924
CO,2009,1454813.9138320473,990331.0,4830443.0,581.0,0.0001202788232880504,0.3011760854712595
CO,2010,1625511.3629268974,1103596.0,4874509.0,497.0,0.00010195898704874686,0.33347181488984784
CO,2011,1862045.070779909,1268350.0,4952735.0,674.0,0.00013608642497529142,0.3759629923224055
CO,2012,1991596.1160693709,1321545.0,5029849.0,612.0,0.00012167363274722561,0.39595544837814634
CO,2013,,,,679.0,,
CO,2014,,,,714.0,,
CO,2015,,,,727.0,,
CT,2003,,,,278.0,,
CT,2004,,,,279.0,,
CT,2005,,,,243.0,,
CT,2006,1095729.9785610028,576169.0,3517460.0,358.0,0.00010177798752508913,0.3115117097453852
CT,2007,1228143.4198508991,655549.0,3527270.0,374.0,0.0001060310098177911,0.34818525937932143
CT,2008,1288713.7106747243,672171.0,3545579.0,341.0,9.617611115138036e-05,0.3634705955429915
CT,2009,1374662.6979415733,703805.0,3494487.0,366.0,0.0001047364033690782,0.39338040116949163
CT,2010,1480043.7659532267,756174.0,3545837.0,316.0,8.911859174575707e-05,0.41740321564505833
CT,2011,1523665.955067764,814798.0,3558172.0,359.0,0.00010089450425668011,0.4282159364605657
CT,2012,1626929.8670333335,855703.0,3572213.0,399.0,0.00011169546720758252,0.455440329855284
CT,2013,,,,543.0,,
CT,2014,,,,591.0,,
CT,2015,,,,777.0,,
DC,2003,,,,90.0,,
DC,2004,,,,80.0,,
DC,2005,,,,70.0,,
DC,2006,,,,85.0,,
DC,2007,,,,61.0,,
DC,2008,,,,48.0,,
DC,2009,,,,24.0,,
DC,2010,,,,71.0,,
DC,2011,,,,79.0,,
DC,2012,,,,71.0,,
DC,2013,,,,101.0,,
DC,2014,,,,80.0,,
DC,2015,,,,114.0,,
DE,2003,,,,64.0,,
DE,2004,,,,50.0,,
DE,2005,,,,37.0,,
DE,2006,356428.317041761,202027.0,859268.0,52.0,6.0516625779151555e-05,0.41480459768286615
DE,2007,436611.1825631754,237915.0,871749.0,60.0,6.882715093450064e-05,0.5008450626994414
DE,2008,562538.7744016778,289974.0,883874.0,97.0,0.00010974414905291931,0.6364467949070544
DE,2009,661353.0739564532,314554.0,863832.0,117.0,0.00013544300280610117,0.7656038141171585
DE,2010,780033.5328551088,358069.0,881278.0,117.0,0.00013276173920147785,0.8851163116010031
DE,2011,856351.7311906787,390350.0,890856.0,139.0,0.0001560297062600465,0.9612684105968626
DE,2012,673245.8229642934,331944.0,900131.0,122.0,0.00013553582756287695,0.7479420472845546
DE,2013,,,,143.0,,
DE,2014,,,,168.0,,
DE,2015,,,,180.0,,
FL,2003,,,,1789.0,,
FL,2004,,,,2007.0,,
FL,2005,,,,2106.0,,
FL,2006,7572174.878479714,4248373.0,18154693.0,2303.0,0.0001268542519556789,0.4170918714229821
FL,2007,9275844.650055727,4454902.0,18355485.0,2546.0,0.00013870513364261418,0.5053445686701129
FL,2008,12077135.678961618,5181875.0,18514553.0,2660.0,0.0001436707653703549,0.652305009954149
FL,2009,15411604.460971907,6188757.0,18222420.0,2795.0,0.00015338248158038283,0.8457496019174131
FL,2010,19996283.029502302,7489283.0,18511620.0,2748.0,0.00014844729958804254,1.0802016803230783
FL,2011,15186234.552697113,6567285.0,18688787.0,2667.0,0.00014270589097088002,0.8125853514568449
FL,2012,9429125.523272729,4922873.0,18885152.0,2299.0,0.00012173584835324598,0.4992877750347325
FL,2013,,,,2180.0,,
FL,2014,,,,2448.0,,
FL,2015,,,,3022.0,,
GA,2003,,,,224.0,,
GA,2004,,,,341.0,,
GA,2005,,,,371.0,,
GA,2006,1978354.9758549097,1427361.0,9133034.0,412.0,4.511096750543138e-05,0.21661530832524106
GA,2007,2306377.1346863285,1636219.0,9316238.0,459.0,4.926881430036459e-05,0.2475652870489492
GA,2008,2587312.629057357,1775330.0,9471561.0,531.0,5.606256455509287e-05,0.27316644310872906
GA,2009,2935052.1551456507,1978244.0,9459391.0,547.0,5.7826132781698104e-05,0.31027918765020396
GA,2010,3599946.6906321556,2247351.0,9432260.0,619.0,6.56258415268451e-05,0.38166321651779694
GA,2011,4014651.981683821,2559695.0,9571330.0,665.0,6.947832746337238e-05,0.4194455714810607
GA,2012,3830936.7092429935,2554810.0,9678302.0,688.0,7.108684973872484e-05,0.3958273578612233
GA,2013,,,,641.0,,
GA,2014,,,,801.0,,
GA,2015,,,,886.0,,
HI,2003,,,,73.0,,
HI,2004,,,,80.0,,
HI,2005,,,,106.0,,
HI,2006,248295.1274490517,167366.0,1309622.0,58.0,4.428758832701344e-05,0.18959297220805066
HI,2007,263612.0113425901,181053.0,1315570.0,103.0,7.829305928228828e-05,0.2003785517628025
HI,2008,304704.0132594176,200673.0,1332114.0,94.0,7.056453126384078e-05,0.22873719010491414
HI,2009,350756.53070049,208858.0,1280163.0,109.0,8.514540726454366e-05,0.2739936482311159
HI,2010,391623.11009348824,224258.0,1333517.0,111.0,8.323853389195638e-05,0.2936768785800918
